3	this junky is super duper rad.
3	i am going to have so much fun with this camera and when i learn more i will post a more accurate review.
1	* does not provide enough volume when connected to larger headphones, or external receivers (car radio).
2	you can cut up the case a bit with an xacto knife and make it useable though.
1	the strap is horrible and gets in the way of parts of the camera you need access to.
3	but once youve got your exposure within an acceptable range, the g3 is shown to produce utterly stunning images that i can hardly get with my nikon f100 film camera.
2	i definately recommend a large memory card.
1	the on-off button feels somewhat flimsy, and has an awkward, tiny little lock-out button that needs to be depressed to turn on the camera.
3	how did i get by without this?
3	now i need to buy myself another one!
2	my advice to mp3 buyers: consider how much storage space you will need, then try and listen before you buy -- mp3 players can only fully evaluated by holding and listening to them.
2	again, though, it has only been used sparingly.
3	excellent camera this is my second digital camera, though i also use one at work and have some experience with several nikon and canon models.
3	despite its being slightly larger than the ipod, i must say i was surprised to see how small it was when i unwrapped the box!
1	so now it still plays everything, you just can't see it!
3	i can recommend this phone to anyone, anytime.
3	i find myself emailing pics to everyone i know.
1	my only complaint would be that you need id3 tags &amp; that takes a while to do if your mp3 files don't have them.
3	in the hands of someone who doesn't, it will yield good results on idiot program / auto mode.
3	now heres the stuff you should know starting with the good things: the screen is really big and the blue light in the back is perfect, fast as hell in music transfer, controls are easy to use after mastering the scroll button, great sound and ive heard many mp3 players, a ton of different equilizer type deals on here.
2	(laptop, intel p4-2.0, xp os).
2	the screen is covered, so to make any new selections you have to open it.
2	deficiencies with zennx are easily overcome with 3rd-party earphones ($ 20 +) and software ($ 25).
1	still no response.
2	my only reservations about this product concern the tagging process and the way it interacts with the software.
2	after that it seems like you're on your own.
2	my jpeg pictures are viewable (not so sharp and vivid) on my 27 " screen but seem not as clear as when i view them on my 17 " monitor.
3	the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine.
1	one also exhibited extremely slow speed when going to the menu.
2	i am back to using # 1.  nice machines, but i consider their quality pretty low now.
1	no contact phone number, only eamil contact which did not respond me.
4	get it, it's woth every penny!
1	be advised, however, that you may encounter problems.
3	it's worth it.
2	i like the way apple is innovative, but let's face it - they can't be the only one with an idea to enclose a 2.5 " hd within an aluminum case in a stylish package for long, especially after the buzz is out of their little techie pod.
3	it plays basically every media i've tested so far, even an old vcd that i ripped years ago and the rental dvd that couldn't be played on my old $ 200 sharp player!
3	good value.
3	bottom line, well made camera, easy to use, very flexible and powerful features to include the ability to use external flash and lense / filters choices.
3	i have had no problem what-so-ever with this product.
2	i got 45 outdoor and 15 indoor shots with the monitor on turning the camera off and on over a 4 hour period before the battery died.
2	tiny!
1	the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine!
1	which means that in trying to save a few hundred dollars, i'll end up spending more than twice that.
2	cons:  not many.
2	so far i've only had it since christmas, so i cant tell you much about the battery life.
1	because of this, i am disappointed and would not recommend this product.
2	i think the whole zen line has been fairly innovative and reasonably priced, but it's not really appropriate to compare the pricing of the zen line to the ipods (although, the ipod is still way over priced).
3	the speakerphone:  this phone has a very cool and useful feature -- the speakerphone.
1	 - the software that came with it was tough to load.
2	and have you seen the price of the ipod extras that you need.
1	it would have been much nicer if it had a window so you could see the screen, and if the button didn't cover up the ac jack.
2	also, if i want a family plan, which mean i need tw phones on a plan...  so how can i do that... aren't that free for two after the rebates.
4	i'm amazed at the photo quality -- prints are indistinguishable from 35mm prints.
3	great camera great camera, i have been using this for several months and got excellent results, simple friendly usage, in many scenes indoor, outdoor, snow, close up macro etc.
3	for the price and features it is really good.
3	highly recommended.
1	one broke, one got stolen, and then i bought the riovolt sp - 350.  if you are planning to buy that player, do not!
3	so far, we've only used this player a few times to watch movies and it has worked fine.
2	using the remote control, press the i/p button located on the bottom right corner of the remote.
2	kick a player i was a little concerned to be the black sheep buying this player instead of the incredibly overpriced apple i-pod.
2	who cares if it doesn't have multiple slots?
3	it's pretty good.
1	at first i thought it is only a isolated incident, but i was proven wrong when the player would not read my " alias " dvds as well.
2	every time you move your face or something they pop out.
3	i should point out that the new rio karma is now down to about $ 280 and is reviewed readily as being as good as (and better in some areas) the ipod.
2	some of the higher pitched rings are very easy to hear, but not easy to listen to.
1	he spent another half hour on the phone with tech support, to no avail.
3	the pros:  price!
1	the only problem that i have found with the internet service is that it does not access mls (real estate broker software) very well at all.
3	the pro...  way less expensive than the ipod.
2	in terms of the important accessories, i got myself an the extra litium battery.
3	you can also search for your song, which is good.
2	the only thing i would complain about the zen xtra is that the controls aren't as easy as the ipod's, or as " sexy " looking.
1	had there been strange noises, or obvious defects, i would have accepted a replacement, but this is clearly from a defective and inferior operating system and i for one do not intend on waiting for patches.
3	i was immediately interested in the 6610.  i have used this phone for two months now.
3	i got this camera about a month ago and i can't put it down.
2	in the last month i bought the apex ad-1600 and the ad-1220.
3	night mode is clear as day.
2	and as i said in my review of the s330, all of these digital cameras are easier to use with apple computers.
1	the player hangs up on file transfer every once-in-a-while, prompting a reset.
4	i enthusiastically recommend this camera.
3	a good phone.
2	so i pop-in my first dvd and start to watch.
1	one thing puzzles me is that for " fine and 2200 + " quality pictures, one ultra 256mb cf card can only hold 130-140 pics, but the size of the pictures are only around 1.2 mb, the math does not add up.
2	so, i recomend it, but not for those that have any hearing troubles, or for those that like to talk a lot in crowded public places (which is annoying, by the way.)
2	this one.
3	i've only had it a week, but so far, everything about this camera is making me happy.
1	the prior one looked and felt lightweight, cheesy, and assembled by the oppressed:  i purchased it for it's easy ability to accept cd-r hacks.
0	big minus!!
3	my 2.6 mhz pentium 4 with usb 2.0 was able to perform the task pretty quickly (i would estimate ~ 5 - 8 minutes per cd).
2	trips.
3	good points:  the functionality on this camera is mind-blowing.
1	other tagging problems result (i think) from the nomad's operating system.
3	overall this has been my favorite phone that i have owned.
3	the volume range is great, so you can blast it if you want.
2	4) a set of speakers and a wireless transmitter are accessories that will add to your player's usability (the latter will allow you to play it on your car radio, home receiver, etc.)
2	i really think.
2	here were my requirements in a digital camera:  1. i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 " or 5x7 " prints and i wanted some really great 8x10 " photos once in a while.
0	do not buy this player.
1	the zooming lever is shaky, i hope it does not operate mechanically, otherwise you'll feel uneasy.
1	apex 2600. the one i purchased for a frend as a gift will not read any dvd disc.
1	i know this unit will have problems in the future and the $ 40 for the 2 year " no questions asked " replacement warranty will be worth it, since creative will only warrant it for 90 days - which in itself is totally ridiculous!
3	if you watch dvds once in a while like i do, get this!
4	the best jukebox mp3 player, hands-down.
3	i myself find this great for when i am at a site i can run to my truck and hook up my modem cable (49.99 @ nokiausa.com or t-mobile.com) press dial up on my laptop (by the way it is a mac pb 1gz.
2	in order for this to work, you have to set the camera to manual mode and set the shutter speed and f-stop yourself.
2	it isn't big and offensive, though you wouldn't know it by looking at the pics it takes.
1	also, you need to have the headset plugged in all the time to have the radio work and that can get tedious.
1	i hope my next player doesnt breakdown..  honestly, the best players without any flaws were the goddam cd players.
2	a quick update to the new zen nx?
4	it gives great pictures, the controls are easy to use, the battery lasts forever on one single charge, the software is very user-friendly and it is beautiful in it chrome casing.
3	my favorite thing about the nomad is the eax feature.
4	i love this player.
1	let me quote a customer service rep from one of the authorized apex service locations in my state (they only service apex tv's, not dvd players):  " you can send it in, but i wouldn't count on ever seeing it or a replacement again.
1	these are minor problems, and i list them to save anyone else the trouble of discovering them.
4	i recieved my 2600 4 days ago and feel that this may be the best $ 50 i have ever spent.
1	i don't really like bounce.
3	overall, i feel that it's a decent buy, and am happy that i own it.
2	for those of you using a mac in os x+ there is no twain utility to download your pics directly into photoshop.
3	recommended to anyone looking to purchase a low priced dvd player and not expecting any bells or whistles from a brand name one like sony.
2	prior to my switch to t-mobile, sprint was my service provider.
1	i tried calling the support number for a week, several times a day, and always got a busy signal.
1	-- > does not recognize player at random times, despite being connected and displaying player's library.
3	first of all i have been a big nokia fan and have been upgrading my cell phones about once a year (right after the release contract is over).
2	the interface used could be better designed.
1	both of the problem dvd's would repeatedly freeze during playback, while the counter on the player kept going.
3	the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options.
3	if you strictly use the lcd and not the view finder, i highly recommend the camera.
3	the sound is great even with the supplied earbuds -- but i find earbuds uncomfortable so i use different headphones.
3	it's a very intuitive program.
2	the objections of the naysayers almost caused me to purchase a different camera, but, in the end, i figured i'd give the g3 a try.
3	it comes with a good case that fits it snuggly.
3	t-mobile was a pretty good server.
2	the zoom goes up and down in magnification, which is nice, but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings.
2	hehe, my bad.
1	i think the lack of the mp3 player being able to run without special software is also a downer, becuase it makes it more cumbersome for people less computer illiterate.
3	its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake.
1	negative: impossibly tiny and difficult to operate, barely visible, power button.
3	in the end this is the one that we decided upon and since have never had buyer's remorse.
3	good quality video.
2	you need your computer, however, if you want to add tracks to a playlist.
3	great value.
3	fantastic digital camera the camera has a wonderful set of features.
1	seems it is always difficult to press to make a selection.
2	does your apex dvd player only play dvd audio without video?
2	i haven't checked the resilience of my xtra yet, and don't plan to.
3	first of all the player's sound quality is superior to the ipod.
2	you could have paid more and got a lot less.
1	it's money down the drain.
1	the workaround is to update id3 tags on your files (through mediasource) but it can be a hassle if you have many such music files.
3	storage:  the storage capacity is great.
1	unfortunately, the neutral density filters for the metz flash are no longer available, so the first problem cant easily be solved.
1	quit in 10 days.
1	the main problem with the nomad jukebox zen xtra 30 gb is the software.
3	the 4300 comes with excellent easy to install software i use it on xp and win98 without problem, battery charger, usb and video cable.
3	messing around with images in photoshop (a supplied software package) and printing them on a good printer, yielded excellent results.
4	the sound is excellent, the battery life is excellent, the fact that the battery is replacable is excellent, and finally the price, $ 200 cheaper than the 40gb ipod, is excellent.
